PointID,Year,Site_ID,X,Y,Habitat
1,2010,LF1,812338.3,810962.4,Lowland forest
2,2010,LF2,835419.6,814927.1,Lowland forest
3,2010,LF3,835654.0,814404.5,Lowland forest
4,2010,LF4,835481.2,814019.3,Lowland forest
5,2010,LF5,835460.8,814194.3,Lowland forest
6,2010,LF6,835343.0,814173.5,Lowland forest
7,2010,LF7,835161.5,813934.0,Lowland forest
8,2010,LF8,834909.5,813478.7,Lowland forest
9,2010,LF9,834540.1,812977.4,Lowland forest
10,2010,LF10,838313.3,816086.3,Lowland forest
11,2010,LF11,843788.0,825547.5,Lowland forest
12,2010,LF12,843941.8,825106.8,Lowland forest
13,2010,LF13,844004.1,824622.1,Lowland forest
14,2010,LF14,844530.9,822414.5,Lowland forest
15,2010,LF15,843941.6,823159.6,Lowland forest
16,2010,LF16,842866.8,829342.2,Lowland forest
17,2010,LF17,842661.5,830062.4,Lowland forest
18,2010,LF18,833609.8,837899.1,Lowland forest
19,2010,LF19,833436.6,838163.7,Lowland forest
20,2010,LF20,834255.2,839645.9,Lowland forest
21,2010,LF21,848717.5,818236.0,Lowland forest
22,2010,LF22,848294.8,817716.3,Lowland forest
23,2010,LF23,847909.8,816976.3,Lowland forest
24,2010,LF24,832178.7,836026.3,Lowland forest
25,2010,LF25,832010.8,836150.8,Lowland forest
26,2010,LF26,831826.2,836093.9,Lowland forest
27,2010,LF27,831820.9,836213.1,Lowland forest
28,2010,LF28,832399.2,835629.8,Lowland forest
29,2010,LF29,833413.1,834974.2,Lowland forest
30,2010,LF30,833513.7,834853.1,Lowland forest
31,2010,LF31,833467.8,834587.5,Lowland forest
32,2010,LF32,841119.9,810894.2,Lowland forest
33,2010,LF33,843353.7,811824.1,Lowland forest
34,2010,LF34,843643.8,811990.2,Mixed shrubland
35,2010,LF35,841743.7,812342.6,Lowland forest
36,2010,LF36,841814.9,812232.1,Lowland forest
37,2010,LF37,842029.0,812172.5,Lowland forest
38,2010,LF38,842394.6,811615.0,Mixed shrubland
39,2010,LF39,842748.2,810537.6,Mixed shrubland
40,2010,LF40,840518.7,810277.5,Lowland forest
41,2010,LF41,841006.1,811216.3,Lowland forest
42,2010,LF42,840715.7,811286.5,Lowland forest
43,2010,LF43,841844.9,828599.5,Lowland forest
44,2010,LF44,834184.3,828274.2,Plantation
45,2010,MSh1,812476.6,811696.7,Lowland forest
46,2010,MSh2,812501.8,811119.1,Mixed shrubland
47,2010,MSh3,811247.4,809960.8,Mixed shrubland
