PointID,Year,Site_ID_OriginalStudy,Easting,Northing,OriginalClass,ConvertedClass
1,1995,ABR1,834787.2,813426.4,Shrubland,Shrubland
2,1995,ABR2,834487.5,813340.8,Shrubland,Shrubland
3,1995,ABR3,834484.2,813591.8,Shrubland,Shrubland
4,1995,ABR4,834734.9,813466.4,Shrubland,Shrubland
5,1995,ABW1,836930.3,812868.4,Woodland,Woodland
6,1995,CPK1,813830.1,827891.4,Grassland,Grassland
7,1995,CPK2,813725.7,827881.9,Grassland,Grassland
8,1995,CPK3,813498.9,827891.6,Shrubland,Shrubland
9,1995,CPK4,813413.4,827871.6,Woodland,Woodland
10,1995,HIR1,853593.5,825353.5,Shrubland,Shrubland
11,1995,KRC1,829850,832050,Shrubland,Shrubland
12,1995,KRC2,829826.1,832259.4,Woodland,Woodland
13,1995,KRC3,829888.8,832193,Shrubland,Shrubland
14,1995,LDB1,819802.9,819011.5,Grassland,Grassland
15,1995,LIS1,827167.8,828484.7,Woodland,Woodland
16,1995,LKG1,841330.8,841365.6,Grassland,Grassland
17,1995,LPK1,809892.2,812270.6,Grassland,Grassland
18,1995,LRN1,836079.8,824207.8,Woodland,Woodland
19,1995,LRN2,836280.4,824323.9,Woodland,Woodland
20,1995,LRN3,836592.8,824641.2,Woodland,Woodland
21,1995,LRN4,836795.6,824673.8,Woodland,Woodland
22,1995,LSP1,813659.9,813576,Woodland,Woodland
23,1995,LSP2,813536.2,813607,Grassland,Grassland
24,1995,LSP3,813271.8,813917.7,Woodland,Woodland
25,1995,LSP4,813171.7,814141.5,Woodland,Woodland
26,1995,MPO1,822275.4,838587.5,Grassland,Grassland
27,1995,MPO2,822100.5,838609.8,Grassland,Grassland
28,1995,MPO3,822090.1,838476.9,Grassland,Grassland
29,1995,POK1,832337.2,815153.3,Woodland,Woodland
30,1995,POK2,832290.4,815122.4,Woodland,Woodland
31,1995,POK3,832673.3,815242.7,Woodland,Woodland
32,1995,POK4,832704.7,815316,Woodland,Woodland
33,1995,PTC1,851623.3,829198.3,Woodland,Woodland
34,1995,PTC2,851743.1,829083.5,Woodland,Woodland
35,1995,PTC3,852023.1,829060.1,Shrubland,Shrubland
36,1995,PTC4,852138,828981,Grassland,Grassland
37,1995,SKC1,828550,831050,Woodland,Woodland
38,1995,SLT1,836788.6,837615.9,Woodland,Woodland
39,1995,SLT2,836598.2,837719.3,Grassland,Grassland
40,1995,SLT3,836558.8,837495.9,Grassland,Grassland
41,1995,SLT4,836790.3,837505.2,Woodland,Woodland
42,1995,SLT5,836950,837850,Grassland,Grassland
43,1995,SLT6,836881.2,838023.8,Woodland,Woodland
44,1995,SMW1,833809.6,828629.5,Woodland,Woodland
45,1995,SMW2,833819.9,828613.2,Woodland,Woodland
46,1995,SMW3,833904,828646.4,Woodland,Woodland
47,1995,SMW4,833897.1,828698.1,Woodland,Woodland
48,1995,SPR1,806737,811287.9,Woodland,Woodland
49,1995,SPR2,806487.1,810505,Woodland,Woodland
50,1995,SPR3,806286.6,810272.6,Shrubland,Shrubland
51,1995,SPR4,806279.4,809855.3,Shrubland,Shrubland
52,1995,SWH1,838362.9,842513,Woodland,Woodland
53,1995,TAP1,855210.1,837854.7,Grassland,Grassland
54,1995,TAP2,855250,837650,Shrubland,Shrubland
55,1995,TAP3,855400.4,837497.3,Grassland,Grassland
56,1995,TAP4,855423.8,836732.7,Grassland,Grassland
57,1995,TLP1,827610.6,828484.4,Shrubland,Shrubland
