PointID,Period,RefClass,M1,M2,M3,M4,M5,M6,M7,M8,ReduceTo90,ReduceTo80,ReduceTo70,ReduceTo60,ReduceTo50,ReduceTo40,ReduceTo30,ReduceTo20,ReduceTo10,ReduceTo05,ReduceTo01
1,c1975,c3,c3,c3,c3,c3,c3,c3,c3,c3,c3,c3,c3,c3,c3,c3,c3,c3,c3,c3,c3
1,c1980,c3,c3,c3,c3,c3,c3,c3,c3,c3,c3,c3,c3,c3,c3,c3,c3,c3,c3,c3,c3
1,c1985,c2,c3,c2,c2,c3,c3,c2,c3,c2,c3,c3,c3,c3,c2,c3,c2,c2,c2,c2,c2
1,c1990,c5,c5,c5,c5,c5,c5,c5,c6,c5,c5,c5,c5,c6,c5,c5,c5,c6,c5,c5,c5
1,c1995,c5,c5,c5,c5,c5,c5,c5,c5,c5,c5,c5,c5,c5,c5,c5,c5,c5,c5,c5,c5
1,c2000,c5,c5,c5,c5,c5,c5,c5,c5,c5,c5,c5,c5,c5,c5,c5,c5,c5,c5,c5,c5
1,c2005,c5,c5,c5,c5,c5,c5,c5,c5,c5,c5,c5,c5,c5,c5,c5,c5,c5,c5,c5,c5
1,c2010,c5,c5,c5,c5,c5,c5,c5,c5,c5,c5,c5,c5,c5,c5,c5,c5,c5,c5,c5,c5
1,c2015,c5,c5,c5,c5,c5,c5,c5,c5,c5,c5,c5,c5,c5,c5,c5,c5,c5,c5,c5,c5
1,c2020,c5,c5,c5,c5,c5,c5,c5,c5,c5,c5,c5,c5,c5,c5,c5,c5,c5,c5,c5,c5
2,c1975,c2,c2,c2,c2,c2,c2,c2,c2,c2,c2,c2,c2,c2,c2,c2,c2,c1,c2,c2,c2
2,c1980,c1,c2,c1,c2,c2,c2,c2,c2,c2,c2,c2,c2,c2,c2,c2,c2,c2,c2,c2,c1
2,c1985,c1,c1,c1,c1,c1,c1,c1,c2,c1,c1,c1,c1,c1,c1,c1,c1,c1,c1,c1,c1
2,c1990,c1,c1,c1,c1,c1,c1,c1,c2,c1,c1,c1,c1,c1,c1,c1,c1,c1,c1,c1,c1
2,c1995,c1,c1,c1,c1,c1,c1,c1,c2,c1,c1,c1,c1,c1,c1,c1,c1,c1,c1,c1,c1
2,c2000,c1,c1,c1,c1,c1,c1,c1,c1,c1,c1,c1,c1,c1,c1,c1,c1,c1,c1,c1,c1
