PointID,Site_ID,X,Y,HabitatType,EcologicalValue,Remarks
1,LF1,812338.3,810962.4,Lowland Forest,High,
2,LF2,835419.6,814927.1,Lowland Forest,High,
3,LF3,835654,814404.5,Lowland Forest,High,
4,LF4,835481.2,814019.3,Lowland Forest,High,
5,LF5,835460.8,814194.3,Lowland Forest,High,
6,LF6,835343,814173.5,Lowland Forest,High,
7,LF7,835161.5,813934,Lowland Forest,High,
8,LF8,834909.5,813478.7,Lowland Forest,High,
9,LF9,834540.1,812977.4,Lowland Forest,High,
10,LF10,838313.3,816086.3,Lowland Forest,High,
11,LF11,843788,825547.5,Lowland Forest,High,
12,LF12,843941.8,825106.8,Lowland Forest,High,
13,LF13,844004.1,824622.1,Lowland Forest,High,
14,LF14,844530.9,822414.5,Lowland Forest,High,
15,LF15,843941.6,823159.6,Lowland Forest,High,
16,LF16,842866.8,829342.2,Lowland Forest,High,
17,LF17,842661.5,830062.4,Lowland Forest,High,
18,LF18,833609.8,837899.1,Lowland Forest,High,
19,LF19,833436.6,838163.7,Lowland Forest,High,
20,LF20,834255.2,839645.9,Lowland Forest,High,
21,LF21,848717.5,818236,Lowland Forest,High,
22,LF22,848294.8,817716.3,Lowland Forest,High,
23,LF23,847909.8,816976.3,Lowland Forest,High,
24,LF24,832178.7,836026.3,Lowland Forest,High,
25,LF25,832010.8,836150.8,Lowland Forest,High,
26,LF26,831826.2,836093.9,Lowland Forest,High,
27,LF27,831820.9,836213.1,Lowland Forest,High,
28,LF28,832399.2,835629.8,Lowland Forest,High,
29,LF29,833413.1,834974.2,Lowland Forest,High,
30,LF30,833513.7,834853.1,Lowland Forest,High,
31,LF31,833467.8,834587.5,Lowland Forest,High,
32,LF32,841119.9,810894.2,Lowland Forest,High,
33,LF33,843353.7,811824.1,Lowland Forest,High,
34,LF34,843671.6,812037.8,Mixed Shrubland,High,
35,LF35,841743.7,812342.6,Lowland Forest,High,
36,LF36,841814.9,812232.1,Lowland Forest,High,
37,LF37,842029,812172.5,Lowland Forest,High,
38,LF38,842394.6,811615,Mixed Shrubland,High,
39,LF39,842748.2,810537.6,Mixed Shrubland,High,
40,LF40,840518.7,810277.5,Lowland Forest,High,
41,LF41,841006.1,811216.3,Lowland Forest,High,
42,LF42,840715.7,811286.5,Lowland Forest,High,
43,LF43,841844.9,828599.5,Lowland Forest,High,
44,LF44,834184.3,828274.2,Plantation,Medium,Road/Trail - Cars and people; Medium due to it all being Plantation
45,MSh1,812476.6,811696.7,Lowland Forest,High,
46,MSh2,812501.8,811119.1,Mixed Shrubland,High,
47,MSh3,811247.4,809960.8,Mixed Shrubland,High,
48,MSh4,811329.8,810042.3,Mixed Shrubland,High,
49,MSh5,811007,809714.8,Mixed Shrubland,Medium,"Pollution, Development - litter and dumping of waste"
50,MSh6,810831.3,809681.9,Mixed Shrubland,High,
51,MSh7,809296,809124,Mixed Shrubland,Medium,Development - footpath
52,MSh8,835636.8,814807.2,Lowland Forest,High,
53,MSh9,835009.5,813647.5,Mixed Shrubland,High,
54,MSh10,834763.7,813405.4,Mixed Shrubland,High,
55,MSh11,837952.3,815649.1,Mixed Shrubland,Low,"Pollution, Development. Other - traffic, residentail pathway, park, parking"
56,MSh12,837952.8,815697.4,Mixed Shrubland,High,
57,MSh13,838045.2,815720.2,Mixed Shrubland,High,
58,MSh14,838238,816166.6,Mixed Shrubland,High,
59,MSh15,838367.2,816614.9,Mixed Shrubland,High,
60,MSh16,842387.3,829862.5,Mixed Shrubland,High,
