ID,POINT_X,POINT_Y,Class,G_ms,R_ms,NIR_B3_ms,NIR_ms,B_tm,G_tm,R_tm,NIR_tm,SW1_tm,SW2_tm,B_et,G_et,R_et,NIR_et,SW1_et,SW2_et,C_ol,B_ol,G_ol,R_ol,NIR_ol,SW1_ol,SW2_ol
1,811995.0589,827083.6079,Barren land,0.0664,0.1018,0.1798,0.2341,0.0773,0.1172,0.1226,0.2117,0.2372,0.1541,0.0733,0.1049,0.1150,0.2190,0.2453,0.1611,0.0664,0.0741,0.1082,0.1175,0.2228,0.2433,0.1545
2,811366.304,828914.3805,Barren land,0.0610,0.0984,0.1807,0.2374,0.0737,0.1174,0.1297,0.2217,0.2546,0.1530,0.0615,0.0953,0.1091,0.2130,0.2350,0.1429,0.0650,0.0740,0.1090,0.1235,0.2336,0.2582,0.1568
3,812444.8261,830234.1364,Barren land,0.0831,0.1167,0.1771,0.2172,0.0909,0.1390,0.1513,0.2310,0.2683,0.1670,0.0848,0.1261,0.1440,0.2406,0.2744,0.1675,0.0831,0.0920,0.1313,0.1449,0.2466,0.2832,0.1719
4,818476.5329,830686.152,Barren land,0.0361,0.0726,0.1455,0.1982,0.0680,0.1051,0.1148,0.2087,0.2366,0.1495,0.0591,0.0903,0.1049,0.2113,0.2387,0.1496,0.0606,0.0644,0.0910,0.0968,0.2230,0.2326,0.1395
5,817664.5911,828584.2691,Barren land,0.0570,0.0933,0.1664,0.2274,0.0677,0.1049,0.1151,0.1940,0.2264,0.1470,0.0581,0.0869,0.0976,0.1976,0.2158,0.1382,0.0594,0.0642,0.0892,0.0984,0.2024,0.2090,0.1278
6,818715.1324,827264.8886,Barren land,0.0637,0.1061,0.1752,0.2298,0.0839,0.1231,0.1377,0.2166,0.2621,0.1653,0.0786,0.1134,0.1334,0.2281,0.2683,0.1664,0.0705,0.0777,0.1109,0.1252,0.2264,0.2524,0.1499
7,823247.032,832336.4528,Barren land,0.0438,0.0791,0.1602,0.2288,0.0624,0.0888,0.1006,0.2075,0.2483,0.1619,0.0535,0.0754,0.0910,0.2067,0.2416,0.1575,0.0542,0.0592,0.0826,0.0907,0.2375,0.2559,0.1552
8,850154.1895,824415.0429,Barren land,0.0578,0.0720,0.1363,0.1835,0.0586,0.0832,0.0885,0.1654,0.1954,0.1325,0.0516,0.0702,0.0797,0.1693,0.1931,0.1280,0.0450,0.0496,0.0709,0.0754,0.1782,0.1917,0.1268
9,850665.0127,824354.1004,Barren land,0.0525,0.0846,0.1578,0.1948,0.0634,0.0986,0.1122,0.2017,0.2177,0.1340,0.0557,0.0831,0.0960,0.2071,0.2224,0.1361,0.0469,0.0543,0.0830,0.0876,0.2285,0.2120,0.1227
10,816405.2675,809986.6354,Barren land,0.0308,0.0621,0.1475,0.2116,0.0587,0.0814,0.0820,0.1755,0.1872,0.1281,0.0517,0.0691,0.0717,0.1889,0.1900,0.1286,0.0359,0.0440,0.0666,0.0664,0.1833,0.1824,0.1247
11,862095.625,844575.679,Barren land,0.0554,0.0674,0.1253,0.1810,0.0653,0.0887,0.0887,0.1820,0.1836,0.1311,0.0610,0.0775,0.0791,0.1821,0.1751,0.1250,0.0273,0.0379,0.0663,0.0661,0.2006,0.1655,0.1169
12,842774.6212,813373.9754,Built-up area,0.0790,0.0948,0.1274,0.1497,0.0907,0.1148,0.1180,0.1800,0.1896,0.1674,0.0842,0.1054,0.1173,0.1808,0.1941,0.1749,0.0766,0.0861,0.1079,0.1153,0.1862,0.1971,0.1688
13,841365.7452,815505.7276,Built-up area,0.0487,0.0682,0.0943,0.1040,0.0837,0.1036,0.1073,0.1277,0.1313,0.1092,0.0734,0.0876,0.0962,0.1209,0.1217,0.1027,0.0589,0.0672,0.0840,0.0883,0.1166,0.1141,0.0918
14,835936.6354,815532.4561,Built-up area,0.0389,0.0587,0.0727,0.0790,0.0636,0.0734,0.0713,0.0823,0.0758,0.0680,0.0609,0.0657,0.0643,0.0765,0.0723,0.0652,0.0596,0.0627,0.0693,0.0692,0.0852,0.0789,0.0645
15,832664.1475,816345.0637,Built-up area,0.0456,0.0609,0.0787,0.0899,0.0707,0.0859,0.0837,0.0994,0.0984,0.0868,0.0669,0.0755,0.0782,0.0997,0.0950,0.0859,0.0425,0.0543,0.0749,0.0732,0.1142,0.1045,0.0814
16,831162.5547,815984.1007,Built-up area,0.0308,0.0484,0.0589,0.0658,0.0592,0.0686,0.0634,0.0730,0.0660,0.0540,0.0562,0.0634,0.0611,0.0770,0.0701,0.0587,0.0178,0.0311,0.0497,0.0508,0.0723,0.0707,0.0545
17,832124.6412,812568.4024,Built-up area,0.0547,0.0738,0.0910,0.0960,0.0840,0.1008,0.0967,0.1203,0.1273,0.1113,0.0773,0.0882,0.0893,0.1176,0.1207,0.1035,0.0255,0.0440,0.0724,0.0720,0.1141,0.1291,0.1042
18,835964.8007,817875.2095,Built-up area,0.0434,0.0652,0.0802,0.0880,0.0731,0.0880,0.0848,0.0919,0.0943,0.0802,0.0700,0.0768,0.0776,0.0857,0.0852,0.0728,0.0602,0.0693,0.0828,0.0845,0.1008,0.1023,0.0824
19,838424.951,822913.707,Built-up area,0.0561,0.0765,0.1044,0.1140,0.0788,0.0961,0.0964,0.1274,0.1211,0.0994,0.0812,0.0942,0.0995,0.1401,0.1328,0.1071,0.0604,0.0739,0.0985,0.1029,0.1539,0.1444,0.1125
20,837433.3965,821144.6993,Built-up area,0.0652,0.0818,0.1000,0.1119,0.0892,0.1070,0.1093,0.1294,0.1421,0.1275,0.0942,0.1095,0.1203,0.1414,0.1455,0.1269,0.0713,0.0856,0.1104,0.1187,0.1479,0.1490,0.1200
21,836356.5623,820034.6156,Built-up area,0.0665,0.0846,0.1033,0.1131,0.0898,0.1097,0.1123,0.1297,0.1246,0.1068,0.0935,0.1100,0.1196,0.1375,0.1386,0.1110,0.0726,0.0835,0.1098,0.1136,0.1394,0.1281,0.1054
22,832394.9481,821953.7923,Built-up area,0.0548,0.0724,0.0878,0.0935,0.0785,0.0983,0.0999,0.1202,0.1205,0.1002,0.0781,0.0932,0.1012,0.1255,0.1291,0.1120,0.0706,0.0789,0.0940,0.0953,0.1266,0.1265,0.1033
23,829755.4789,826004.7829,Built-up area,0.0736,0.0915,0.1204,0.1319,0.0851,0.1052,0.1073,0.1561,0.1560,0.1310,0.0812,0.0955,0.1032,0.1593,0.1577,0.1258,0.0567,0.0672,0.0899,0.0940,0.1593,0.1507,0.1231
24,832722.5645,839954.5101,Built-up area,0.0824,0.1001,0.1317,0.1565,0.0884,0.1078,0.1123,0.1461,0.1681,0.1487,0.0906,0.1076,0.1175,0.1531,0.1593,0.1404,0.0625,0.0799,0.1113,0.1201,0.1692,0.1690,0.1366
25,830924.7921,841063.7129,Built-up area,0.0724,0.0938,0.1423,0.1773,0.0978,0.1251,0.1314,0.1835,0.2084,0.1845,0.0937,0.1147,0.1279,0.1749,0.2032,0.1860,0.0751,0.0892,0.1167,0.1262,0.1912,0.2145,0.1846
26,834254.1969,810853.4843,Grassland,0.0378,0.0698,0.1443,0.1979,0.0622,0.0849,0.0891,0.1913,0.1987,0.1270,0.0562,0.0758,0.0830,0.1986,0.2053,0.1285,0.0389,0.0476,0.0693,0.0733,0.1996,0.2018,0.1248
27,846794.6197,814695.076,Grassland,0.0487,0.0653,0.1407,0.1972,0.0607,0.0814,0.0873,0.1993,0.2271,0.1400,0.0508,0.0705,0.0798,0.2193,0.2295,0.1357,0.0608,0.0617,0.0723,0.0723,0.2310,0.2086,0.1139
