ID,index,GEE_ID,LANDSAT_PRODUCT_ID,SPACECRAFT_ID,SENSOR_ID,Date,Time,WRS_TYPE,WRS_PATH,WRS_ROW,CloudCover,SunAzimuth,SunElevation,SunZenith,RemainAfterPreprocess,Period,CountValidPixel,Percentile
1,LM01_130044_19731031,LANDSAT/LM01/C02/T2/LM01_130044_19731031,LM01_L1TP_130044_19731031_20200909_02_T2,LANDSAT_1,MSS,31/10/1973,02:15:52.9500000Z,1,130,44,0,142.08,44.48,45.52,Yes,1975,1090609,100
2,LM01_130045_19731031,LANDSAT/LM01/C02/T2/LM01_130045_19731031,LM01_L1TP_130045_19731031_20200909_02_T2,LANDSAT_1,MSS,31/10/1973,02:16:18.5000000Z,1,130,45,0,140.88,45.44,44.56,No,,,
3,LM01_131044_19731225,LANDSAT/LM01/C02/T2/LM01_131044_19731225,LM01_L1TP_131044_19731225_20200908_02_T2,LANDSAT_1,MSS,25/12/1973,02:21:03.5000000Z,1,131,44,0,144.74,34.53,55.47,Yes,1975,1032303,100
4,LM01_131045_19731225,LANDSAT/LM01/C02/T2/LM01_131045_19731225,LM01_L1TP_131045_19731225_20200908_02_T2,LANDSAT_1,MSS,25/12/1973,02:21:28.5000000Z,1,131,45,2,143.91,35.55,54.45,No,,,
5,LM02_131044_19751118,LANDSAT/LM02/C02/T2/LM02_131044_19751118,LM02_L1GS_131044_19751118_20200908_02_T2,LANDSAT_2,MSS,18/11/1975,02:10:33.7700000Z,1,131,44,0,142.77,38.60,51.40,No,,,
6,LM02_131044_19751224,LANDSAT/LM02/C02/T2/LM02_131044_19751224,LM02_L1TP_131044_19751224_20200908_02_T2,LANDSAT_2,MSS,24/12/1975,02:10:07.5000000Z,1,131,44,0,142.65,33.04,56.96,Yes,1975,859998,25
7,LM02_131044_19760129,LANDSAT/LM02/C02/T2/LM02_131044_19760129,LM02_L1TP_131044_19760129_20200908_02_T2,LANDSAT_2,MSS,29/1/1976,02:09:44.7300000Z,1,131,44,12,135.25,34.99,55.01,No,,,
8,LM02_131044_19761112,LANDSAT/LM02/C02/T2/LM02_131044_19761112,LM02_L1GS_131044_19761112_20200907_02_T2,LANDSAT_2,MSS,12/11/1976,02:01:24.9000000Z,1,131,44,10,139.56,38.49,51.51,No,,,
9,LM02_130044_19761129,LANDSAT/LM02/C02/T2/LM02_130044_19761129,LM02_L1TP_130044_19761129_20200907_02_T2,LANDSAT_2,MSS,29/11/1976,01:54:57.0880000Z,1,130,44,0,141.41,34.89,55.11,Yes,1975,624192,50
10,LM02_131044_19761130,LANDSAT/LM02/C02/T2/LM02_131044_19761130,LM02_L1TP_131044_19761130_20200907_02_T2,LANDSAT_2,MSS,30/11/1976,02:00:39.0740000Z,1,131,44,0,141.45,34.71,55.29,Yes,1975,1015682,75
11,LM02_130044_19761217,LANDSAT/LM02/C02/T2/LM02_130044_19761217,LM02_L1TP_130044_19761217_20200907_02_T2,LANDSAT_2,MSS,17/12/1976,01:54:12.4000000Z,1,130,44,14,140.98,32.12,57.88,No,,,
12,LM02_131044_19770105,LANDSAT/LM02/C02/T2/LM02_131044_19770105,LM02_L1TP_131044_19770105_20200907_02_T2,LANDSAT_2,MSS,5/1/1977,01:59:08.7200000Z,1,131,44,4,138.41,31.14,58.86,No,,,
13,LM02_131044_19770123,LANDSAT/LM02/C02/T2/LM02_131044_19770123,LM02_L1TP_131044_19770123_20200907_02_T2,LANDSAT_2,MSS,23/1/1977,01:58:28.9800000Z,1,131,44,7,134.40,32.33,57.67,Yes,1975,915105,50
14,LM02_131044_19770210,LANDSAT/LM02/C02/T2/LM02_131044_19770210,LM02_L1TP_131044_19770210_20200907_02_T2,LANDSAT_2,MSS,10/2/1977,01:57:48.5000000Z,1,131,44,0,129.39,35.30,54.70,Yes,1975,813141,0
15,LM02_130044_19770404,LANDSAT/LM02/C02/T2/LM02_130044_19770404,LM02_L1TP_130044_19770404_20200907_02_T2,LANDSAT_2,MSS,4/4/1977,01:49:42.2200000Z,1,130,44,12,109.27,49.01,40.99,No,,,
16,LM02_130044_19770615,LANDSAT/LM02/C02/T2/LM02_130044_19770615,LM02_L1TP_130044_19770615_20200907_02_T2,LANDSAT_2,MSS,15/6/1977,01:45:56.5100000Z,1,130,44,6,81.83,54.60,35.40,Yes,1975,503650,25
17,LM02_130044_19770808,LANDSAT/LM02/C02/T2/LM02_130044_19770808,LM02_L1TP_130044_19770808_20200907_02_T2,LANDSAT_2,MSS,8/8/1977,01:43:12.4500000Z,1,130,44,12,92.62,51.22,38.78,Yes,1975,229389,0
18,LM02_131044_19770914,LANDSAT/LM02/C02/T2/LM02_131044_19770914,LM02_L1TP_131044_19770914_20200907_02_T2,LANDSAT_2,MSS,14/9/1977,01:46:47.1600000Z,1,131,44,4,111.91,47.77,42.23,No,,,
19,LM02_130044_19771019,LANDSAT/LM02/C02/T2/LM02_130044_19771019,LM02_L1TP_130044_19771019_20200907_02_T2,LANDSAT_2,MSS,19/10/1977,01:39:04.1230000Z,1,130,44,0,128.56,41.37,48.63,Yes,1975,905161,75
20,LM02_130044_19771106,LANDSAT/LM02/C02/T2/LM02_130044_19771106,LM02_L1TP_130044_19771106_20200907_02_T2,LANDSAT_2,MSS,6/11/1977,01:38:06.2000000Z,1,130,44,0,134.25,37.11,52.89,No,,,
21,LM02_131044_19771107,LANDSAT/LM02/C02/T2/LM02_131044_19771107,LM02_L1TP_131044_19771107_20200907_02_T2,LANDSAT_2,MSS,7/11/1977,01:43:47.8370000Z,1,131,44,6,134.51,37.04,52.96,No,,,
22,LM02_131044_19780506,LANDSAT/LM02/C02/T2/LM02_131044_19780506,LM02_L1TP_131044_19780506_20200906_02_T2,LANDSAT_2,MSS,6/5/1978,01:48:04.0840000Z,1,131,44,2,93.23,53.24,36.76,Yes,1980,946818,50
23,LM02_131045_19780506,LANDSAT/LM02/C02/T2/LM02_131045_19780506,LM02_L1TP_131045_19780506_20200907_02_T2,LANDSAT_2,MSS,6/5/1978,01:48:29.0820000Z,1,131,45,14,91.20,53.05,36.95,No,,,
24,LM02_131044_19780611,LANDSAT/LM02/C02/T2/LM02_131044_19780611,LM02_L1TP_131044_19780611_20200907_02_T2,LANDSAT_2,MSS,11/6/1978,01:49:41.0970000Z,1,131,44,10,82.11,54.44,35.56,Yes,1980,715757,30
25,LM02_131045_19780611,LANDSAT/LM02/C02/T2/LM02_131045_19780611,LM02_L1TP_131045_19780611_20200906_02_T2,LANDSAT_2,MSS,11/6/1978,01:50:06.0880000Z,1,131,45,2,80.10,53.97,36.03,No,,,
26,LM02_131044_19780629,LANDSAT/LM02/C02/T2/LM02_131044_19780629,LM02_L1TP_131044_19780629_20200906_02_T2,LANDSAT_2,MSS,29/6/1978,01:50:32.0850000Z,1,131,44,13,81.61,53.81,36.19,Yes,1980,690523,20
27,LM03_130044_19780707,LANDSAT/LM03/C02/T2/LM03_130044_19780707,LM03_L1TP_130044_19780707_20200907_02_T2,LANDSAT_3,MSS,7/7/1978,02:06:38.3130000Z,1,130,44,6,83.80,58.30,31.70,Yes,1980,545707,50
28,LM02_130044_19780716,LANDSAT/LM02/C02/T2/LM02_130044_19780716,LM02_L1TP_130044_19780716_20200906_02_T2,LANDSAT_2,MSS,16/7/1978,01:45:39.0320000Z,1,130,44,9,84.50,53.11,36.89,Yes,1980,451263,0
29,LM02_131044_19780717,LANDSAT/LM02/C02/T2/LM02_131044_19780717,LM02_L1TP_131044_19780717_20200906_02_T2,LANDSAT_2,MSS,17/7/1978,01:51:26.0820000Z,1,131,44,2,84.77,53.07,36.93,Yes,1980,905104,40
30,LM02_131045_19780717,LANDSAT/LM02/C02/T2/LM02_131045_19780717,LM02_L1TP_131045_19780717_20200906_02_T2,LANDSAT_2,MSS,17/7/1978,01:51:51.0780000Z,1,131,45,8,82.82,52.67,37.33,No,,,
31,LM03_130044_19780812,LANDSAT/LM03/C02/T2/LM03_130044_19780812,LM03_L1TP_130044_19780812_20200906_02_T2,LANDSAT_3,MSS,12/8/1978,02:07:07.0460000Z,1,130,44,15,97.46,56.59,33.41,No,,,
32,LM03_130044_19780830,LANDSAT/LM03/C02/T2/LM03_130044_19780830,LM03_L1TP_130044_19780830_20200906_02_T2,LANDSAT_3,MSS,30/8/1978,02:07:18.0940000Z,1,130,44,4,107.97,55.23,34.77,No,,,
33,LM03_131044_19780831,LANDSAT/LM03/C02/T2/LM03_131044_19780831,LM03_L1TP_131044_19780831_20200906_02_T2,LANDSAT_3,MSS,31/8/1978,02:13:03.0800000Z,1,131,44,5,108.59,55.13,34.87,Yes,1980,666539,10
