RowID,Taxa,Family,ChecklistName,CommonName,中文名稱,NativePlant,Fellowes2002,Corlett2000,Cap96,Cap170,Cap586,RarePreciousPlant,ChinaRedListVertebrates,ChinaRedDataPlant,IUCNRedList,ConservationConcern
1,Mammals,Pteropodidae,Cynopterus sphinx,Short-nosed Fruit Bat,短吻果蝠,NA,NA,NA,N,Y,N,N,NT,NA,LC,Y
2,Mammals,Pteropodidae,Rousettus leschenaultii,Leschenault's Rousette,棕果蝠,NA,LC,NA,N,Y,N,N,LC,NA,NT,Y
3,Mammals,Hipposideridae,Hipposideros armiger,Himalayan Leaf-nosed Bat,大蹄蝠,NA,LC,NA,N,Y,N,N,LC,NA,LC,Y
4,Mammals,Hipposideridae,Hipposideros gentilis,Andersen's Leaf-nosed Bat,小蹄蝠,NA,LC,NA,N,Y,N,N,LC,NA,LC,Y
5,Mammals,Rhinolophidae,Rhinolophus affinis,Intermediate Horseshoe Bat,中菊頭蝠,NA,LC,NA,N,Y,N,N,LC,NA,LC,Y
6,Mammals,Rhinolophidae,Rhinolophus pusillus,Least Horseshoe Bat,小菊頭蝠,NA,PRC,NA,N,Y,N,N,LC,NA,LC,Y
7,Mammals,Rhinolophidae,Rhinolophus sinicus,Chinese Horseshoe Bat,中華菊頭蝠,NA,NA,NA,N,Y,N,N,LC,NA,LC,Y
8,Mammals,Emballonuridae,Taphozous melanopogon,Black-bearded Tomb Bat,黑鬚墓蝠,NA,NA,NA,N,Y,N,N,LC,NA,LC,Y
9,Mammals,Molossidae,Chaerephon plicatus,Wrinkle-lipped Free-tailed Bat,皺唇犬吻蝠,NA,NA,NA,N,Y,N,N,LC,NA,LC,Y
10,Mammals,Miniopteridae,Miniopterus fuliginosus,Common Bent-winged Bat,長翼蝠,NA,LC,NA,N,Y,N,N,NT,NA,NE,Y
11,Mammals,Vespertilionidae,Miniopterus magnater,Greater Bent-winged Bat,大長翼蝠,NA,PRC,NA,N,Y,N,N,NT,NA,LC,Y
12,Mammals,Miniopteridae,Miniopterus pusillus,Lesser Bent-winged Bat,南長翼蝠,NA,LC,NA,N,Y,N,N,NT,NA,LC,Y
13,Mammals,Vespertilionidae,Nyctalus plancyi,Chinese Noctule,中華山蝠,NA,PRC,NA,N,Y,N,N,LC,NA,LC,Y
14,Mammals,Vespertilionidae,Tylonycteris fulvida,Lesser Bamboo Bat,扁顱蝠,NA,LC,NA,N,Y,N,N,LC,NA,NE,Y
15,Mammals,Vespertilionidae,Tylonycteris tonkinensis,Greater Bamboo Bat,褐扁顱蝠,NA,NA,NA,N,Y,N,N,NT,NA,NE,Y
16,Mammals,Vespertilionidae,Pipistrellus abramus,Japanese Pipistrelle,東亞家蝠,NA,NA,NA,N,Y,N,N,LC,NA,LC,Y
17,Mammals,Vespertilionidae,Pipistrellus tenuis,Least Pipistrelle,小伏翼,NA,NA,NA,N,Y,N,N,NT,NA,LC,Y
18,Mammals,Vespertilionidae,Pipistrellus sp.1,Unidentified Pipistrelle,,NA,NA,NA,N,Y,N,N,NA,NA,NA,Y
19,Mammals,Vespertilionidae,Hypsugo pulveratus,Chinese Pipistrelle,灰伏翼,NA,LC,NA,N,Y,N,N,NT,NA,LC,Y
20,Mammals,Vespertilionidae,Eptesicus pachyomus,Serotine,大棕蝠,NA,NA,NA,N,Y,N,N,LC,NA,LC,Y
21,Mammals,Vespertilionidae,Scotophilus kuhlii,Lesser Yellow Bat,中黃蝠,NA,LC,NA,N,Y,N,N,LC,NA,LC,Y
22,Mammals,Vespertilionidae,Myotis chinensis,Chinese Myotis,中華鼠耳蝠,NA,LC,NA,N,Y,N,N,NT,NA,LC,Y
23,Mammals,Vespertilionidae,Myotis horsfieldii,Horsfield's Myotis,霍氏鼠耳蝠,NA,PRC,NA,N,Y,N,N,LC,NA,LC,Y
24,Mammals,Vespertilionidae,Myotis muricola,Whiskered Myotis,喜山鼠耳蝠,NA,NA,NA,N,Y,N,N,NT,NA,LC,Y
25,Mammals,Vespertilionidae,Myotis pilosus,Rickett's Big-footed Myotis,大足鼠耳蝠,NA,LC,NA,N,Y,N,N,NT,NA,VU,Y
26,Mammals,Bovidae,Bos taurus,Domestic Ox,黃牛,NA,NA,NA,N,N,N,N,NA,NA,NA,N
27,Mammals,Bovidae,Bubalus bubalis,Domestic Water Buffalo,水牛,NA,NA,NA,N,N,N,N,NA,NA,NA,N
28,Mammals,Cervidae,Muntiacus vaginalis,Red Muntjac,赤麂,NA,PRC,NA,N,N,N,N,NT,NA,LC,Y
29,Mammals,Suidae,Sus scrofa,Eurasian Wild Pig,野豬,NA,NA,NA,N,N,N,N,LC,NA,LC,N
30,Mammals,Canidae,Canis lupus familiaris,Domestic Dog,野狗,NA,NA,NA,N,N,N,N,NA,NA,NA,N
31,Mammals,Felidae,Felis catus,Domestic Cat,野貓,NA,NA,NA,N,N,N,N,NA,NA,NA,N
32,Mammals,Felidae,Prionailurus bengalensis,Leopard Cat,豹貓,NA,NA,NA,N,Y,Y,N,VU,NA,LC,Y
33,Mammals,Herpestidae,Herpestes javanicus,Small Asian Mongoose,紅頰獴,NA,NA,NA,N,Y,N,N,VU,NA,LC,Y
34,Mammals,Herpestidae,Herpestes urva,Crab-eating Mongoose,食蟹獴,NA,LC,NA,N,Y,N,N,NT,NA,LC,Y
35,Mammals,Mustelidae,Lutra lutra,Eurasian Otter,歐亞水獺,NA,RC,NA,N,Y,Y,N,EN,NA,NT,Y
36,Mammals,Mustelidae,Melogale moschata,Small-toothed Ferret Badger,鼬獾,NA,NA,NA,N,Y,N,N,NT,NA,LC,Y
37,Mammals,Mustelidae,Mustela kathiah,Yellow-bellied Weasel,黃腹鼬,NA,LC,NA,N,N,N,N,NT,NA,LC,Y
38,Mammals,Viverridae,Paguma larvata,Masked Palm Civet,果子狸,NA,PRC,NA,N,Y,N,N,NT,NA,LC,Y
39,Mammals,Viverridae,Viverricula indica,Small Indian Civet,小靈貓,NA,NA,NA,N,Y,N,N,VU,NA,LC,Y
40,Mammals,Manidae,Manis pentadactyla,Chinese Pangolin,穿山甲,NA,RC,NA,N,Y,Y,N,CR,NA,CR,Y
41,Mammals,Cercopithecidae,Macaca fascicularis,Long-tailed Macaque,長尾獼猴,NA,NA,NA,N,Y,Y,N,NA,NA,EN,Y
42,Mammals,Cercopithecidae,Macaca mulatta,Rhesus Macaque,獼猴,NA,NA,NA,N,Y,Y,N,LC,NA,LC,Y
43,Mammals,Hystricidae,Hystrix brachyura,East Asian Porcupine,東亞豪豬,NA,PGC,NA,N,Y,N,N,LC,NA,LC,Y
44,Mammals,Muridae,Bandicota indica,Greater Bandicoot Rat,板齒鼠,NA,LC,NA,N,N,N,N,LC,NA,LC,Y
45,Mammals,Muridae,Mus caroli,Ryukyu Mouse,田鼷鼠,NA,NA,NA,N,N,N,N,LC,NA,LC,N
46,Mammals,Muridae,Mus musculus,House Mouse,小家鼠,NA,NA,NA,N,N,N,N,LC,NA,LC,N
